rank,player,team,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,guaranteed,source_status,as_of_date
121,Brandon Miller,CHO,15104626,,,,,,15104626,uploaded,2026-09-09
122,Mitchell Robinson,BOS,15044000,15796200,16548400,,,,47388600,uploaded,2026-09-09
123,Tobias Harris,SAS,15044000,15796200,,,,,30840200,uploaded,2026-09-09
124,Obi Toppin,IND,15000000,16025000,,,,,31025000,uploaded,2026-09-09
125,Isaiah Stewart,MEM,15000000,15000000,,,,,15000000,uploaded,2026-09-09
126,Herbert Jones,NOP,14898786,20858300,22526964,24195628,,,58284050,uploaded,2026-09-09
127,Caris LeVert,MIL,14809200,,,,,,14809200,uploaded,2026-09-09
128,Dennis Schröder,CHO,14809200,15514400,,,,,14809200,uploaded,2026-09-09
129,AJ Dybantsa,WAS,14748000,15485760,16223040,20457254,,,30233760,uploaded,2026-09-09
130,Josh Green,UTA,14679012,,,,,,14679012,uploaded,2026-09-09
131,Bobby Portis,MIA,14521414,15597074,,,,,14521414,uploaded,2026-09-09
132,Cooper Flagg,DAL,14517480,15208680,19178146,,,,14517480,uploaded,2026-09-09
133,Nickeil Alexander-Walker,ATL,14403710,15161800,15919890,,,,29565510,uploaded,2026-09-09
134,Grant Williams,CHO,14265750,,,,,,14265750,uploaded,2026-09-09
135,Jock Landale,ATL,14100000,,,,,,14100000,uploaded,2026-09-09
136,Tari Eason,HOU,14051724,15175862,16300000,17424138,18548276,,62951724,uploaded,2026-09-09
137,Rui Hachimura,LAC,14000000,14000000,,,,,14000000,uploaded,2026-09-09
138,Corey Kispert,ATL,13975000,13050000,13050000,,,,27025000,uploaded,2026-09-09
139,Robert Williams,POR,13968254,14666667,15365079,,,,18968254,uploaded,2026-09-09
140,Quentin Grimes,LAL,13953489,14651163,15348837,16046511,,,43953489,uploaded,2026-09-09
141,Julian Champagnie,SAS,13888889,15000000,16111111,,,,45000000,uploaded,2026-09-09
142,Zaccharie Risacher,DAL,13826040,17434637,,,,,13826040,uploaded,2026-09-09
143,Scoot Henderson,POR,13585523,,,,,,13585523,uploaded,2026-09-09
144,Damian Lillard,POR,35915403,36620603,22516603,22516603,,,13398800,uploaded,2026-09-09
145,Dorian Finney-Smith,CHO,13335000,13335000,13335000,,,,26670000,uploaded,2026-09-09
146,Darryn Peterson,UTA,13195320,13855320,14515320,18318335,,,27050640,uploaded,2026-09-09
147,Deni Avdija,POR,13125000,11875000,,,,,25000000,uploaded,2026-09-09
