team,team_id,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,source_status,as_of_date
Orlando Magic,ORL,223288224,192930667,197412400,129193510,54780000,,uploaded,2026-09-09
Atlanta Hawks,ATL,221278253,143103584,112934904,74646411,,,uploaded,2026-09-09
Golden State Warriors,GSW,221121390,60754861,14812268,8899128,,,uploaded,2026-09-09
Cleveland Cavaliers,CLE,220639643,190872291,198766881,161269204,75530756,,uploaded,2026-09-09
New York Knicks,NYK,217948756,226434292,144555486,50928570,,,uploaded,2026-09-09
Phoenix Suns,PHO,216225506,198703527,158117834,133807565,,,uploaded,2026-09-09
Denver Nuggets,DEN,215333328,195049206,121572007,26724137,28448274,,uploaded,2026-09-09
Minnesota Timberwolves,MIN,215327417,214138240,169708451,26862981,25489652,,uploaded,2026-09-09
Oklahoma City Thunder,OKC,214798992,237689566,230873865,190425799,185206200,,uploaded,2026-09-09
Philadelphia 76ers,PHI,210716387,208266056,208044183,16858871,,,uploaded,2026-09-09
Miami Heat,MIA,208293719,177052923,93212209,16200000,,,uploaded,2026-09-09
Houston Rockets,HOU,205487343,200834044,120405505,126513870,90443597,47337931,uploaded,2026-09-09
Indiana Pacers,IND,203715395,208571172,88444288,,,,uploaded,2026-09-09
Toronto Raptors,TOR,202743041,166229339,123271894,85221376,,,uploaded,2026-09-09
New Orleans Pelicans,NOP,202241014,154569359,74875969,24195628,,,uploaded,2026-09-09
Boston Celtics,BOS,201437932,219312101,161745847,101027113,15500000,,uploaded,2026-09-09
Los Angeles Lakers,LAL,201332759,201135669,170858141,121980116,,,uploaded,2026-09-09
San Antonio Spurs,SAS,198315672,201629313,190043004,124933839,53940000,57420000,uploaded,2026-09-09
Dallas Mavericks,DAL,197866094,187233338,89368560,56715938,,,uploaded,2026-09-09
Los Angeles Clippers,LAC,196862414,100270202,29404730,19420990,,,uploaded,2026-09-09
Portland Trail Blazers,POR,194511148,181644147,67372684,47330355,,,uploaded,2026-09-09
Milwaukee Bucks,MIL,193808287,116758556,107445149,71538318,,,uploaded,2026-09-09
Sacramento Kings,SAC,189346486,124432298,48740563,46990837,31862067,,uploaded,2026-09-09
Washington Wizards,WAS,189013104,186857371,94455967,78853448,,,uploaded,2026-09-09
Utah Jazz,UTA,181863431,163275577,132691831,71818335,,,uploaded,2026-09-09
Charlotte Hornets,CHO,174870647,149029942,101882633,44166902,,,uploaded,2026-09-09
Memphis Grizzlies,MEM,167642677,121980585,44196666,23042053,,,uploaded,2026-09-09
Chicago Bulls,CHI,161545080,141977480,68444704,23239809,,,uploaded,2026-09-09
Brooklyn Nets,BRK,160105139,119334047,46411932,18153206,,,uploaded,2026-09-09
Detroit Pistons,DET,153163826,125013908,91860409,68811709,,,uploaded,2026-09-09
