teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
BOS|boston-celtics|Boston Celtics|Joe Mazzulla|Dalano Banton|45|F|26|6' 8"|203|Nebraska|--
BOS|boston-celtics|Boston Celtics|Joe Mazzulla|Jaylen Brown|7|G|29|6' 6"|223|California|53142264
BOS|boston-celtics|Boston Celtics|Joe Mazzulla|Luka Garza|52|C|27|6' 10"|243|Iowa|2461463
BOS|boston-celtics|Boston Celtics|Joe Mazzulla|Hugo Gonzalez|28|G|20|6' 6"|200|--|2783880
BOS|boston-celtics|Boston Celtics|Joe Mazzulla|Ron Harper Jr.|13|G|26|6' 5"|233|Rutgers|--
BOS|boston-celtics|Boston Celtics|Joe Mazzulla|Sam Hauser|30|F|28|6' 7"|217|Virginia|10044643
BOS|boston-celtics|Boston Celtics|Joe Mazzulla|Payton Pritchard|11|G|28|6' 1"|195|Oregon|7232143
BOS|boston-celtics|Boston Celtics|Joe Mazzulla|Neemias Queta|88|C|26|7' 0"|248|Utah State|2349578
BOS|boston-celtics|Boston Celtics|Joe Mazzulla|Baylor Scheierman|55|G|25|6' 6"|205|Creighton|2619000
BOS|boston-celtics|Boston Celtics|Joe Mazzulla|Max Shulga|44|G|23|6' 4"|210|VCU|--
BOS|boston-celtics|Boston Celtics|Joe Mazzulla|Jayson Tatum|0|F|28|6' 8"|210|Duke|54126450
BOS|boston-celtics|Boston Celtics|Joe Mazzulla|John Tonje|8|G|25|6' 4"|218|Wisconsin|--
BOS|boston-celtics|Boston Celtics|Joe Mazzulla|Nikola Vucevic|4|C|35|6' 9"|260|USC|21481481
BOS|boston-celtics|Boston Celtics|Joe Mazzulla|Jordan Walsh|27|G|22|6' 6"|205|Arkansas|2221677
BOS|boston-celtics|Boston Celtics|Joe Mazzulla|Derrick White|9|G|31|6' 4"|190|Colorado|28100001
BOS|boston-celtics|Boston Celtics|Joe Mazzulla|Amari Williams|77|F|24|6' 11"|250|Kentucky|490128
