teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
BKN|brooklyn-nets|Brooklyn Nets|Jordi Fernandez|Ochai Agbaji|30|G|26|6' 5"|215|Kansas|6383525
BKN|brooklyn-nets|Brooklyn Nets|Jordi Fernandez|Nic Claxton|33|C|27|6' 11"|215|Georgia|25352272
BKN|brooklyn-nets|Brooklyn Nets|Jordi Fernandez|Noah Clowney|21|F|21|6' 10"|210|Alabama|3398640
BKN|brooklyn-nets|Brooklyn Nets|Jordi Fernandez|Egor Demin|8|G|20|6' 8"|200|BYU|6889200
BKN|brooklyn-nets|Brooklyn Nets|Jordi Fernandez|Tyson Etienne|10|G|26|6' 0"|200|Wichita State|--
BKN|brooklyn-nets|Brooklyn Nets|Jordi Fernandez|Chaney Johnson|31|F|23|6' 8"|225|Auburn|--
BKN|brooklyn-nets|Brooklyn Nets|Jordi Fernandez|E.J. Liddell|9|F|25|6' 6"|240|Ohio State|--
BKN|brooklyn-nets|Brooklyn Nets|Jordi Fernandez|Terance Mann|14|G|29|6' 6"|215|Florida State|15500000
BKN|brooklyn-nets|Brooklyn Nets|Jordi Fernandez|Josh Minott|00|F|23|6' 8"|205|Memphis|2378870
BKN|brooklyn-nets|Brooklyn Nets|Jordi Fernandez|Michael Porter Jr.|17|F|27|6' 10"|218|Missouri|38333050
BKN|brooklyn-nets|Brooklyn Nets|Jordi Fernandez|Drake Powell|4|G|20|6' 5"|195|North Carolina|3372240
BKN|brooklyn-nets|Brooklyn Nets|Jordi Fernandez|Ben Saraf|77|G|20|6' 6"|200|--|2884560
BKN|brooklyn-nets|Brooklyn Nets|Jordi Fernandez|Trevon Scott|13|F|29|6' 8"|225|Cincinnati|--
BKN|brooklyn-nets|Brooklyn Nets|Jordi Fernandez|Day'Ron Sharpe|20|C|24|6' 10"|265|North Carolina|6250000
BKN|brooklyn-nets|Brooklyn Nets|Jordi Fernandez|Malachi Smith|18|G|26|6' 4"|205|Gonzaga|--
BKN|brooklyn-nets|Brooklyn Nets|Jordi Fernandez|Nolan Traore|88|G|20|6' 3"|185|--|3811560
BKN|brooklyn-nets|Brooklyn Nets|Jordi Fernandez|Ziaire Williams|1|F|24|6' 9"|185|Stanford|6250000
BKN|brooklyn-nets|Brooklyn Nets|Jordi Fernandez|Jalen Wilson|22|F|25|6' 6"|220|Kansas|2221677
BKN|brooklyn-nets|Brooklyn Nets|Jordi Fernandez|Danny Wolf|2|F|22|6' 11"|250|Michigan|2801280
