teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
CHI|chicago-bulls|Chicago Bulls|Billy Donovan|Matas Buzelis|14|F|21|6' 8"|209|--|5455560
CHI|chicago-bulls|Chicago Bulls|Billy Donovan|Zach Collins|12|F|28|6' 9"|250|Gonzaga|18080496
CHI|chicago-bulls|Chicago Bulls|Billy Donovan|Rob Dillingham|7|G|21|6' 2"|175|Kentucky|6576120
CHI|chicago-bulls|Chicago Bulls|Billy Donovan|Noa Essengue|24|F|19|6' 8"|200|--|5429520
CHI|chicago-bulls|Chicago Bulls|Billy Donovan|Josh Giddey|3|G|23|6' 7"|216|--|25000000
CHI|chicago-bulls|Chicago Bulls|Billy Donovan|Mouhamadou Gueye|16|F|27|6' 9"|210|Pittsburgh|--
CHI|chicago-bulls|Chicago Bulls|Billy Donovan|Tre Jones|30|G|26|6' 1"|185|Duke|8000000
CHI|chicago-bulls|Chicago Bulls|Billy Donovan|Yuki Kawamura|8|G|25|5' 7"|159|--|--
CHI|chicago-bulls|Chicago Bulls|Billy Donovan|Mac McClung|5|G|27|6' 2"|185|Texas Tech|--
CHI|chicago-bulls|Chicago Bulls|Billy Donovan|Leonard Miller|11|F|22|6' 10"|220|--|2221677
CHI|chicago-bulls|Chicago Bulls|Billy Donovan|Isaac Okoro|35|F|25|6' 4"|225|Auburn|11000000
CHI|chicago-bulls|Chicago Bulls|Billy Donovan|Lachlan Olbrich|47|C|22|6' 8"|236|UC Riverside|--
CHI|chicago-bulls|Chicago Bulls|Billy Donovan|Nick Richards|13|C|28|6' 11"|245|Kentucky|5000000
CHI|chicago-bulls|Chicago Bulls|Billy Donovan|Collin Sexton|2|G|27|6' 3"|190|Alabama|19170000
CHI|chicago-bulls|Chicago Bulls|Billy Donovan|Anfernee Simons|22|G|26|6' 3"|200|--|27678571
CHI|chicago-bulls|Chicago Bulls|Billy Donovan|Jalen Smith|25|F|26|6' 8"|215|Maryland|9000000
CHI|chicago-bulls|Chicago Bulls|Billy Donovan|Patrick Williams|44|F|24|6' 6"|215|Florida State|18000000
CHI|chicago-bulls|Chicago Bulls|Billy Donovan|Guerschon Yabusele|28|F|30|6' 7"|265|--|5500000
