teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
CLE|cleveland-cavaliers|Cleveland Cavaliers|Kenny Atkinson|Jarrett Allen|31|C|28|6' 9"|243|Texas|20000000
CLE|cleveland-cavaliers|Cleveland Cavaliers|Kenny Atkinson|Thomas Bryant|3|C|28|6' 9"|248|Indiana|2296274
CLE|cleveland-cavaliers|Cleveland Cavaliers|Kenny Atkinson|Keon Ellis|14|G|26|6' 4"|175|Alabama|2301587
CLE|cleveland-cavaliers|Cleveland Cavaliers|Kenny Atkinson|Tristan Enaruna|21|F|24|6' 7"|220|Cleveland State|--
CLE|cleveland-cavaliers|Cleveland Cavaliers|Kenny Atkinson|James Harden|1|G|36|6' 5"|220|Arizona State|39446090
CLE|cleveland-cavaliers|Cleveland Cavaliers|Kenny Atkinson|Sam Merrill|5|G|30|6' 4"|205|Utah State|8482143
CLE|cleveland-cavaliers|Cleveland Cavaliers|Kenny Atkinson|Riley Minix|12|F|25|6' 7"|230|Morehead State|--
CLE|cleveland-cavaliers|Cleveland Cavaliers|Kenny Atkinson|Donovan Mitchell|45|G|29|6' 2"|215|Louisville|46394100
CLE|cleveland-cavaliers|Cleveland Cavaliers|Kenny Atkinson|Evan Mobley|4|C|24|6' 11"|215|USC|46394100
CLE|cleveland-cavaliers|Cleveland Cavaliers|Kenny Atkinson|Larry Nance Jr.|22|F|33|6' 6"|245|Wyoming|2296274
CLE|cleveland-cavaliers|Cleveland Cavaliers|Kenny Atkinson|Craig Porter Jr.|9|G|26|6' 1"|180|Wichita State|2221677
CLE|cleveland-cavaliers|Cleveland Cavaliers|Kenny Atkinson|Tyrese Proctor|24|G|22|6' 4"|185|Duke|1272870
CLE|cleveland-cavaliers|Cleveland Cavaliers|Kenny Atkinson|Olivier Sarr|33|F|27|6' 10"|240|Kentucky|--
CLE|cleveland-cavaliers|Cleveland Cavaliers|Kenny Atkinson|Dennis Schroder|8|G|32|6' 1"|175|--|14104000
CLE|cleveland-cavaliers|Cleveland Cavaliers|Kenny Atkinson|Max Strus|2|G|30|6' 5"|215|DePaul|15936452
CLE|cleveland-cavaliers|Cleveland Cavaliers|Kenny Atkinson|Nae'Qwan Tomlin|35|F|25|6' 8"|210|Memphis|718150
CLE|cleveland-cavaliers|Cleveland Cavaliers|Kenny Atkinson|Jaylon Tyson|20|G|23|6' 6"|215|California|3492480
CLE|cleveland-cavaliers|Cleveland Cavaliers|Kenny Atkinson|Dean Wade|32|F|29|6' 9"|228|Kansas State|6623456
