teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
DAL|dallas-mavericks|Dallas Mavericks|Jason Kidd|Marvin Bagley III|35|F|27|6' 10"|235|Duke|2296274
DAL|dallas-mavericks|Dallas Mavericks|Jason Kidd|Max Christie|00|G|23|6' 5"|190|Michigan State|7714286
DAL|dallas-mavericks|Dallas Mavericks|Jason Kidd|Moussa Cisse|30|C|23|6' 11"|220|Memphis|--
DAL|dallas-mavericks|Dallas Mavericks|Jason Kidd|Cooper Flagg|32|F|19|6' 9"|205|Duke|14386320
DAL|dallas-mavericks|Dallas Mavericks|Jason Kidd|Daniel Gafford|21|F|27|6' 10"|265|Arkansas|14386320
DAL|dallas-mavericks|Dallas Mavericks|Jason Kidd|Kyrie Irving|11|G|34|6' 2"|195|Duke|36566002
DAL|dallas-mavericks|Dallas Mavericks|Jason Kidd|AJ Johnson|8|G|21|6' 5"|160|--|3090480
DAL|dallas-mavericks|Dallas Mavericks|Jason Kidd|Dereck Lively II|2|C|22|7' 1"|230|Duke|5253360
DAL|dallas-mavericks|Dallas Mavericks|Jason Kidd|Naji Marshall|13|F|28|6' 6"|220|Xavier|9000000
DAL|dallas-mavericks|Dallas Mavericks|Jason Kidd|Caleb Martin|16|F|30|6' 5"|205|Nevada|9594044
DAL|dallas-mavericks|Dallas Mavericks|Jason Kidd|Khris Middleton|20|F|34|6' 7"|222|Texas A&M|33926296
DAL|dallas-mavericks|Dallas Mavericks|Jason Kidd|Ryan Nembhard|9|G|23|5' 11"|180|Gonzaga|321875
DAL|dallas-mavericks|Dallas Mavericks|Jason Kidd|John Poulakidas|1|G|23|6' 6"|205|Yale|--
DAL|dallas-mavericks|Dallas Mavericks|Jason Kidd|Dwight Powell|7|F|34|6' 10"|240|Stanford|4000000
DAL|dallas-mavericks|Dallas Mavericks|Jason Kidd|Tyler Smith|23|F|21|6' 9"|224|--|1955377
DAL|dallas-mavericks|Dallas Mavericks|Jason Kidd|Klay Thompson|31|G|36|6' 5"|220|Washington State|16666667
DAL|dallas-mavericks|Dallas Mavericks|Jason Kidd|P.J. Washington|25|F|27|6' 7"|230|Kentucky|14152174
DAL|dallas-mavericks|Dallas Mavericks|Jason Kidd|Brandon Williams|10|G|26|6' 1"|190|Arizona|2270735
