teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
MIA|miami-heat|Miami Heat|Erik Spoelstra|Bam Adebayo|13|C|28|6' 9"|260|Kentucky|37096620
MIA|miami-heat|Miami Heat|Erik Spoelstra|Simone Fontecchio|0|F|30|6' 7"|220|--|8307692
MIA|miami-heat|Miami Heat|Erik Spoelstra|Myron Gardner|15|F|25|6' 5"|225|Little Rock|395029
MIA|miami-heat|Miami Heat|Erik Spoelstra|Vladislav Goldin|50|C|25|7' 0"|255|Michigan|--
MIA|miami-heat|Miami Heat|Erik Spoelstra|Tyler Herro|14|G|26|6' 5"|205|Kentucky|31000000
MIA|miami-heat|Miami Heat|Erik Spoelstra|Kasparas Jakucionis|25|G|20|6' 5"|205|Illinois|3658800
MIA|miami-heat|Miami Heat|Erik Spoelstra|Jaime Jaquez Jr.|11|F|25|6' 6"|230|UCLA|3861600
MIA|miami-heat|Miami Heat|Erik Spoelstra|Keshad Johnson|16|F|24|6' 6"|230|Arizona|1955377
MIA|miami-heat|Miami Heat|Erik Spoelstra|Nikola Jovic|5|F|22|6' 10"|240|--|4445417
MIA|miami-heat|Miami Heat|Erik Spoelstra|Trevor Keels|8|G|22|6' 4"|221|Duke|--
MIA|miami-heat|Miami Heat|Erik Spoelstra|Pelle Larsson|9|G|25|6' 5"|215|Arizona|1955377
MIA|miami-heat|Miami Heat|Erik Spoelstra|Davion Mitchell|45|G|27|6' 0"|210|Baylor|11600000
MIA|miami-heat|Miami Heat|Erik Spoelstra|Norman Powell|24|G|33|6' 4"|215|UCLA|20482758
MIA|miami-heat|Miami Heat|Erik Spoelstra|Dru Smith|12|G|28|6' 2"|200|Missouri|2378870
MIA|miami-heat|Miami Heat|Erik Spoelstra|Kel'el Ware|7|C|22|7' 0"|250|Indiana|4443360
MIA|miami-heat|Miami Heat|Erik Spoelstra|Andrew Wiggins|22|F|31|6' 7"|210|Kansas|28223214
MIA|miami-heat|Miami Heat|Erik Spoelstra|Jahmir Young|17|G|25|6' 0"|185|Maryland|--
