teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
NOP|new-orleans-pelicans|New Orleans Pelicans|Jamahl Mosley|Trey Alexander|23|G|23|6' 5"|185|Creighton|--
NOP|new-orleans-pelicans|New Orleans Pelicans|Jamahl Mosley|Saddiq Bey|41|G|27|6' 8"|215|Villanova|6118644
NOP|new-orleans-pelicans|New Orleans Pelicans|Jamahl Mosley|Hunter Dickinson|4|C|25|7' 1"|255|Kansas|--
NOP|new-orleans-pelicans|New Orleans Pelicans|Jamahl Mosley|Jeremiah Fears|0|G|19|6' 3"|190|Oklahoma|7520040
NOP|new-orleans-pelicans|New Orleans Pelicans|Jamahl Mosley|Jordan Hawkins|24|G|24|6' 5"|190|UConn|4741320
NOP|new-orleans-pelicans|New Orleans Pelicans|Jamahl Mosley|Herbert Jones|2|F|27|6' 7"|206|Alabama|13937574
NOP|new-orleans-pelicans|New Orleans Pelicans|Jamahl Mosley|DeAndre Jordan|6|C|37|6' 11"|265|Texas A&M|2269880
NOP|new-orleans-pelicans|New Orleans Pelicans|Jamahl Mosley|Kevon Looney|55|F|30|6' 9"|222|UCLA|8000000
NOP|new-orleans-pelicans|New Orleans Pelicans|Jamahl Mosley|Karlo Matkovic|17|F|25|6' 10"|231|--|1955377
NOP|new-orleans-pelicans|New Orleans Pelicans|Jamahl Mosley|Bryce McGowens|11|G|23|6' 6"|190|Nebraska|724598
NOP|new-orleans-pelicans|New Orleans Pelicans|Jamahl Mosley|Yves Missi|21|C|22|6' 11"|235|Baylor|3353040
NOP|new-orleans-pelicans|New Orleans Pelicans|Jamahl Mosley|Trey Murphy III|25|F|25|6' 8"|206|Virginia|25000000
NOP|new-orleans-pelicans|New Orleans Pelicans|Jamahl Mosley|Dejounte Murray|5|G|29|6' 4"|180|Washington|30801103
NOP|new-orleans-pelicans|New Orleans Pelicans|Jamahl Mosley|Josh Oduro|13|C|25|6' 9"|240|Providence|--
NOP|new-orleans-pelicans|New Orleans Pelicans|Jamahl Mosley|Micah Peavy|14|G|24|6' 7"|220|Georgetown|1272970
NOP|new-orleans-pelicans|New Orleans Pelicans|Jamahl Mosley|Jordan Poole|3|G|26|6' 4"|194|Michigan|31848215
NOP|new-orleans-pelicans|New Orleans Pelicans|Jamahl Mosley|Derik Queen|22|C|21|6' 9"|250|Maryland|5157960
NOP|new-orleans-pelicans|New Orleans Pelicans|Jamahl Mosley|Zion Williamson|1|F|25|6' 6"|284|Duke|39446090
