teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
NYK|new-york-knicks|New York Knicks|Mike Brown|Jose Alvarado|5|G|28|6' 0"|179|Georgia Tech|4500000
NYK|new-york-knicks|New York Knicks|Mike Brown|OG Anunoby|8|F|28|6' 7"|240|Indiana|39568966
NYK|new-york-knicks|New York Knicks|Mike Brown|Mikal Bridges|25|G|29|6' 6"|209|Villanova|24900000
NYK|new-york-knicks|New York Knicks|Mike Brown|Jalen Brunson|11|G|29|6' 2"|190|Villanova|34944001
NYK|new-york-knicks|New York Knicks|Mike Brown|Jordan Clarkson|00|G|33|6' 5"|194|Missouri|2296274
NYK|new-york-knicks|New York Knicks|Mike Brown|Pacome Dadiet|4|F|20|6' 9"|210|--|2847600
NYK|new-york-knicks|New York Knicks|Mike Brown|Mohamed Diawara|51|F|21|6' 9"|225|--|1272870
NYK|new-york-knicks|New York Knicks|Mike Brown|Josh Hart|3|G|31|6' 5"|215|Villanova|19472240
NYK|new-york-knicks|New York Knicks|Mike Brown|Ariel Hukporti|55|C|24|7' 0"|246|--|1955377
NYK|new-york-knicks|New York Knicks|Mike Brown|Trey Jemison III|50|F|26|6' 10"|270|UAB|--
NYK|new-york-knicks|New York Knicks|Mike Brown|Dillon Jones|33|F|24|6' 5"|235|Weber State|2753280
NYK|new-york-knicks|New York Knicks|Mike Brown|Tyler Kolek|13|G|25|6' 2"|195|Marquette|2191897
NYK|new-york-knicks|New York Knicks|Mike Brown|Miles McBride|2|G|25|6' 2"|195|West Virginia|4333333
NYK|new-york-knicks|New York Knicks|Mike Brown|Kevin McCullar Jr.|9|G|25|6' 6"|210|Kansas|--
NYK|new-york-knicks|New York Knicks|Mike Brown|Mitchell Robinson|23|C|28|7' 0"|240|--|12954546
NYK|new-york-knicks|New York Knicks|Mike Brown|Landry Shamet|44|G|29|6' 5"|190|Wichita State|2296274
NYK|new-york-knicks|New York Knicks|Mike Brown|Jeremy Sochan|20|F|23|6' 8"|230|Baylor|778622
NYK|new-york-knicks|New York Knicks|Mike Brown|Karl-Anthony Towns|32|C|30|7' 0"|248|Kentucky|54126450
