teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
OKC|oklahoma-city-thunder|Oklahoma City Thunder|Mark Daigneault|Brooks Barnhizer|23|F|24|6' 6"|230|Northwestern|--
OKC|oklahoma-city-thunder|Oklahoma City Thunder|Mark Daigneault|Branden Carlson|15|C|26|7' 0"|220|Utah|--
OKC|oklahoma-city-thunder|Oklahoma City Thunder|Mark Daigneault|Alex Caruso|9|G|32|6' 5"|186|Texas A&M|18102000
OKC|oklahoma-city-thunder|Oklahoma City Thunder|Mark Daigneault|Luguentz Dort|5|G|27|6' 4"|220|Arizona State|18222222
OKC|oklahoma-city-thunder|Oklahoma City Thunder|Mark Daigneault|Shai Gilgeous-Alexander|2|G|27|6' 6"|195|Kentucky|38333050
OKC|oklahoma-city-thunder|Oklahoma City Thunder|Mark Daigneault|Isaiah Hartenstein|55|C|28|7' 0"|250|--|28500000
OKC|oklahoma-city-thunder|Oklahoma City Thunder|Mark Daigneault|Chet Holmgren|7|C|24|7' 1"|208|Gonzaga|13731368
OKC|oklahoma-city-thunder|Oklahoma City Thunder|Mark Daigneault|Isaiah Joe|11|G|26|6' 4"|165|Arkansas|12362338
OKC|oklahoma-city-thunder|Oklahoma City Thunder|Mark Daigneault|Jared McCain|3|G|22|6' 3"|195|Duke|4221360
OKC|oklahoma-city-thunder|Oklahoma City Thunder|Mark Daigneault|Ajay Mitchell|25|G|23|6' 4"|190|UC Santa Barbara|3000000
OKC|oklahoma-city-thunder|Oklahoma City Thunder|Mark Daigneault|Payton Sandfort|14|F|23|6' 8"|215|Iowa|--
OKC|oklahoma-city-thunder|Oklahoma City Thunder|Mark Daigneault|Thomas Sorber|12|C|20|6' 9"|250|Georgetown|4655040
OKC|oklahoma-city-thunder|Oklahoma City Thunder|Mark Daigneault|Nikola Topic|44|G|20|6' 6"|200|--|5182920
OKC|oklahoma-city-thunder|Oklahoma City Thunder|Mark Daigneault|Cason Wallace|22|G|22|6' 3"|195|Kentucky|5820240
OKC|oklahoma-city-thunder|Oklahoma City Thunder|Mark Daigneault|Aaron Wiggins|21|G|27|6' 5"|190|Maryland|10102802
OKC|oklahoma-city-thunder|Oklahoma City Thunder|Mark Daigneault|Jalen Williams|8|G|25|6' 5"|211|Santa Clara|6580997
OKC|oklahoma-city-thunder|Oklahoma City Thunder|Mark Daigneault|Jaylin Williams|6|F|23|6' 9"|240|Arkansas|8450794
OKC|oklahoma-city-thunder|Oklahoma City Thunder|Mark Daigneault|Kenrich Williams|34|G|31|6' 7"|210|TCU|7163000
