teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
ORL|orlando-magic|Orlando Magic|Sean Sweeney|Paolo Banchero|5|F|23|6' 10"|250|Duke|15334769
ORL|orlando-magic|Orlando Magic|Sean Sweeney|Desmond Bane|3|G|27|6' 6"|215|TCU|36725670
ORL|orlando-magic|Orlando Magic|Sean Sweeney|Goga Bitadze|35|C|26|6' 11"|250|--|8333333
ORL|orlando-magic|Orlando Magic|Sean Sweeney|Anthony Black|0|G|22|6' 7"|200|Arkansas|7970280
ORL|orlando-magic|Orlando Magic|Sean Sweeney|Jamal Cain|8|F|27|6' 7"|191|Oakland|--
ORL|orlando-magic|Orlando Magic|Sean Sweeney|Jevon Carter|2|G|30|6' 0"|200|West Virginia|871000
ORL|orlando-magic|Orlando Magic|Sean Sweeney|Wendell Carter Jr.|34|C|27|6' 10"|270|Duke|10850000
ORL|orlando-magic|Orlando Magic|Sean Sweeney|Colin Castleton|14|C|26|6' 10"|250|Florida|2191897
ORL|orlando-magic|Orlando Magic|Sean Sweeney|Tristan da Silva|23|F|25|6' 8"|217|Colorado|3809520
ORL|orlando-magic|Orlando Magic|Sean Sweeney|Jett Howard|13|G|22|6' 8"|215|Michigan|5529720
ORL|orlando-magic|Orlando Magic|Sean Sweeney|Jonathan Isaac|1|F|28|6' 10"|230|Florida State|15000000
ORL|orlando-magic|Orlando Magic|Sean Sweeney|Alex Morales|30|G|28|6' 6"|180|Wagner|--
ORL|orlando-magic|Orlando Magic|Sean Sweeney|Noah Penda|93|F|21|6' 7"|215|--|1272870
ORL|orlando-magic|Orlando Magic|Sean Sweeney|Jase Richardson|11|G|20|6' 1"|180|Michigan State|2983320
ORL|orlando-magic|Orlando Magic|Sean Sweeney|Jalen Suggs|4|G|25|6' 5"|205|Gonzaga|35000000
ORL|orlando-magic|Orlando Magic|Sean Sweeney|Franz Wagner|22|F|24|6' 10"|220|Michigan|38661750
ORL|orlando-magic|Orlando Magic|Sean Sweeney|Moritz Wagner|21|F|29|6' 11"|245|Michigan|5000000
