teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
PHI|philadelphia-76ers|Philadelphia 76ers|Nick Nurse|Dominick Barlow|25|F|23|6' 9"|215|--|3415000
PHI|philadelphia-76ers|Philadelphia 76ers|Nick Nurse|MarJon Beauchamp|16|F|25|6' 7"|199|--|--
PHI|philadelphia-76ers|Philadelphia 76ers|Nick Nurse|Adem Bona|30|C|23|6' 10"|235|UCLA|1955377
PHI|philadelphia-76ers|Philadelphia 76ers|Nick Nurse|Johni Broome|22|F|23|6' 10"|235|Auburn|1272870
PHI|philadelphia-76ers|Philadelphia 76ers|Nick Nurse|Andre Drummond|1|C|32|6' 11"|279|UConn|5000000
PHI|philadelphia-76ers|Philadelphia 76ers|Nick Nurse|VJ Edgecombe|77|G|20|6' 4"|180|Baylor|11108880
PHI|philadelphia-76ers|Philadelphia 76ers|Nick Nurse|Justin Edwards|11|F|22|6' 7"|203|Kentucky|2048494
PHI|philadelphia-76ers|Philadelphia 76ers|Nick Nurse|Joel Embiid|21|C|32|7' 0"|280|Kansas|55224526
PHI|philadelphia-76ers|Philadelphia 76ers|Nick Nurse|Paul George|8|F|36|6' 8"|220|Fresno State|51666090
PHI|philadelphia-76ers|Philadelphia 76ers|Nick Nurse|Quentin Grimes|5|G|26|6' 4"|210|Houston|8741209
PHI|philadelphia-76ers|Philadelphia 76ers|Nick Nurse|Kyle Lowry|7|G|40|6' 0"|196|Villanova|2296274
PHI|philadelphia-76ers|Philadelphia 76ers|Nick Nurse|Tyrese Martin|23|G|27|6' 6"|215|UConn|--
PHI|philadelphia-76ers|Philadelphia 76ers|Nick Nurse|Tyrese Maxey|0|G|25|6' 2"|200|Kentucky|37958760
PHI|philadelphia-76ers|Philadelphia 76ers|Nick Nurse|Kelly Oubre Jr.|9|G|30|6' 8"|203|Kansas|8382150
PHI|philadelphia-76ers|Philadelphia 76ers|Nick Nurse|Dalen Terry|14|F|23|6' 6"|195|Arizona|--
PHI|philadelphia-76ers|Philadelphia 76ers|Nick Nurse|Jabari Walker|33|F|23|6' 7"|237|Colorado|724598
PHI|philadelphia-76ers|Philadelphia 76ers|Nick Nurse|Trendon Watford|12|F|25|6' 8"|237|LSU|2461463
