teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
PHX|phoenix-suns|Phoenix Suns|Jordan Ott|Grayson Allen|8|G|30|6' 3"|198|Duke|16875000
PHX|phoenix-suns|Phoenix Suns|Jordan Ott|Devin Booker|1|G|29|6' 5"|206|Kentucky|53142264
PHX|phoenix-suns|Phoenix Suns|Jordan Ott|Jamaree Bouyea|17|G|26|6' 2"|180|San Francisco|574210
PHX|phoenix-suns|Phoenix Suns|Jordan Ott|Koby Brea|14|G|23|6' 5"|215|Kentucky|--
PHX|phoenix-suns|Phoenix Suns|Jordan Ott|Dillon Brooks|3|F|30|6' 7"|225|Oregon|22124110
PHX|phoenix-suns|Phoenix Suns|Jordan Ott|Amir Coffey|2|G|28|6' 7"|210|Minnesota|2296274
PHX|phoenix-suns|Phoenix Suns|Jordan Ott|Ryan Dunn|0|F|23|6' 7"|216|Virginia|2657760
PHX|phoenix-suns|Phoenix Suns|Jordan Ott|Rasheer Fleming|20|F|21|6' 9"|240|Saint Joseph's|1272870
PHX|phoenix-suns|Phoenix Suns|Jordan Ott|Collin Gillespie|12|G|26|6' 1"|195|Villanova|2296274
PHX|phoenix-suns|Phoenix Suns|Jordan Ott|Jordan Goodwin|23|G|27|6' 3"|215|Saint Louis|2349578
PHX|phoenix-suns|Phoenix Suns|Jordan Ott|Jalen Green|4|G|24|6' 4"|186|--|33548499
PHX|phoenix-suns|Phoenix Suns|Jordan Ott|Haywood Highsmith|7|F|29|6' 5"|220|Wheeling Jesuit|827984
PHX|phoenix-suns|Phoenix Suns|Jordan Ott|CJ Huntley|22|F|24|6' 9"|190|App State|--
PHX|phoenix-suns|Phoenix Suns|Jordan Ott|Oso Ighodaro|11|F|23|6' 11"|235|Marquette|1955377
PHX|phoenix-suns|Phoenix Suns|Jordan Ott|Isaiah Livers|18|F|27|6' 6"|232|Michigan|--
PHX|phoenix-suns|Phoenix Suns|Jordan Ott|Khaman Maluach|10|C|19|7' 1"|250|Duke|6016080
PHX|phoenix-suns|Phoenix Suns|Jordan Ott|Royce O'Neale|00|F|33|6' 6"|226|Baylor|10125000
PHX|phoenix-suns|Phoenix Suns|Jordan Ott|Mark Williams|15|C|24|7' 1"|240|Duke|6276531
