teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
POR|portland-trail-blazers|Portland Trail Blazers|Chauncey Billups|Deni Avdija|8|F|25|6' 8"|228|--|14375000
POR|portland-trail-blazers|Portland Trail Blazers|Chauncey Billups|Toumani Camara|33|F|26|6' 7"|230|Dayton|2221677
POR|portland-trail-blazers|Portland Trail Blazers|Chauncey Billups|Sidy Cissoko|91|G|22|6' 6"|220|--|688243
POR|portland-trail-blazers|Portland Trail Blazers|Chauncey Billups|Donovan Clingan|23|C|22|7' 2"|280|UConn|7178400
POR|portland-trail-blazers|Portland Trail Blazers|Chauncey Billups|Jerami Grant|9|F|32|6' 7"|213|Syracuse|32000000
POR|portland-trail-blazers|Portland Trail Blazers|Chauncey Billups|Yang Hansen|16|C|20|7' 1"|270|--|4422360
POR|portland-trail-blazers|Portland Trail Blazers|Chauncey Billups|Scoot Henderson|00|G|22|6' 3"|207|--|10748040
POR|portland-trail-blazers|Portland Trail Blazers|Chauncey Billups|Jrue Holiday|5|G|35|6' 4"|220|UCLA|32400000
POR|portland-trail-blazers|Portland Trail Blazers|Chauncey Billups|Jayson Kent|29|G|24|6' 8"|215|Texas|--
POR|portland-trail-blazers|Portland Trail Blazers|Chauncey Billups|Vit Krejci|27|G|25|6' 8"|195|--|2349578
POR|portland-trail-blazers|Portland Trail Blazers|Chauncey Billups|Damian Lillard|0|G|35|6' 2"|200|Weber State|14104000
POR|portland-trail-blazers|Portland Trail Blazers|Chauncey Billups|Caleb Love|2|G|24|6' 3"|212|Arizona|--
POR|portland-trail-blazers|Portland Trail Blazers|Chauncey Billups|Kris Murray|24|F|25|6' 8"|218|Iowa|3132000
POR|portland-trail-blazers|Portland Trail Blazers|Chauncey Billups|Shaedon Sharpe|17|G|23|6' 5"|210|Kentucky|8399983
POR|portland-trail-blazers|Portland Trail Blazers|Chauncey Billups|Matisse Thybulle|4|G|29|6' 5"|202|Washington|11550000
POR|portland-trail-blazers|Portland Trail Blazers|Chauncey Billups|Blake Wesley|1|G|23|6' 4"|190|Notre Dame|4726328
POR|portland-trail-blazers|Portland Trail Blazers|Chauncey Billups|Robert Williams III|35|C|28|6' 9"|249|Texas A&M|13285713
POR|portland-trail-blazers|Portland Trail Blazers|Chauncey Billups|Chris Youngblood|11|G|24|6' 4"|221|Alabama|--
